PRV,NOW,,DEVELOPER,AIRCRAFT,,,CATEGORY,$,,ADDED,DAYS,
1,1,=,A2A Simulations,Piper Comanche 250,12,98,Piston GA,P,,18 Jul 2023,684,0.122
3,2,1,Flysimware,Cessna 414 AW Chancellor,9,162,Piston GA,P,,27 Mar 2022,1131,0.056
10,3,7,Black Square,Beechcraft B60 Duke (Piston / Grand),7,55,Piston GA,P,,19 May 2024,378,0.127
5,4,1,COWS,Diamond DA42,7,68,Piston GA,P,,12 Feb 2024,475,0.103
2,5,3,Fenix,Airbus A320,7,159,Airliner,P,,19 May 2022,1109,0.044
15,6,9,COWS,Diamond DA40-XLS,6,15,Piston GA,P,,17 Feb 2025,104,0.400
12,7,5,Just Flight,BAe Hawk T1/A,6,162,Military (Modern),P,,27 Mar 2022,1131,0.037
33,8,25,Classic Aircraft Simulations,Piper J3C-65 Cub,5,50,Piston GA,P,,22 Jun 2024,344,0.100
23,9,14,Black Square,Daher TBM 850,5,85,Turboprop,P,,16 Oct 2023,594,0.059
7,10,3,FlightFX & MS 2024,Cirrus SF50 Vision Jet G2 (combined),5,131,Business Jet,B,,3 Dec 2022,911,0.038
6,11,5,SimWorks Studio,Quest Kodiak 100,5,162,Turboprop,P,,27 Mar 2022,1131,0.031
97,12,85,Flying Iron,Spitfire Mk. IX,5,162,Warbird (Classic),P,,27 Mar 2022,1131,0.031
45,13,32,Flying Fries,Blackshape Gabriel BK160-TR,4,10,Piston GA,P,,28 Mar 2025,65,0.400
19,14,5,iniBuilds,Airbus A350,4,13,Airliner,P,,7 Mar 2025,86,0.308
14,15,1,Microsoft / Carenado,Cessna C185 Skywagon,4,15,Piston GA,F,,23 Feb 2025,98,0.267
4,16,12,Just Flight,Avro RJ,4,29,Airliner,P,,11 Nov 2024,202,0.138
167,17,150,Miltech Simulations,Boeing CH47D Chinook,4,63,Helicopter,P,,20 Mar 2024,438,0.063
34,18,16,Flysimware,Bombardier Learjet 35A,4,75,Business Jet,P,,31 Dec 2023,518,0.053
37,19,18,MilViz / Blackbird,BB310R,4,122,Piston GA,P,,5 May 2022,850,0.033
30,20,10,FlightFX,Piaggio P.180 Avanti II,3,15,Turboprop,P,,23 Feb 2025,98,0.200
16,21,5,PMDG,Boeing 777F,3,18,Airliner,P,,27 Jan 2025,125,0.167
21,22,1,SimWorks Studio,Pilatus PC-12,3,76,Turboprop,P,,21 Dec 2023,528,0.039
,23,,AzurPoly,Dassault SEPECAT Jaguar,2,8,Military (Modern),P,,11 Apr 2025,51,0.250
20,24,4,Microsoft / Mike Johnson,Grumman Amphibian Albatross G111/HU16,2,29,Seaplane,D,,11 Nov 2024,202,0.069
8,25,17,FlyByWire,Airbus A380 (X),2,31,Airliner,F,,3 Nov 2024,210,0.065
137,26,,Fenix,Airbus A319/A321 (Expansion),2,41,Airliner,P,,20 Aug 2024,285,0.049
143,27,,IndiaFoxtEcho,Panavia Tornado,2,43,Military (Modern),P,,9 Aug 2024,296,0.047
70,28,,Taog’s Hangar,Bell UH-1H “Huey” / Bell 205,2,50,Helicopter,P,,21 Jun 2024,345,0.040
11,29,,Black Square,Beechcraft B60 Duke (Turbine),2,56,Turboprop,P,,11 May 2024,386,0.036
77,30,,Just Flight,Avro Vulcan B Mk. 2,2,79,Military (Modern),P,,30 Nov 2023,549,0.025
22,31,,FSReborn,Piper M500 (FSR500) Meridian,2,82,Turboprop,P,,6 Nov 2023,573,0.024
199,32,,Got Friends,F4F-4 Wildcat,2,88,Warbird (Classic),P,,29 Sep 2023,611,0.023
