PRV,NOW,,DEVELOPER,AIRCRAFT,,,CATEGORY,$,,ADDED,DAYS,
1,1,=,A2A Simulations,Piper Comanche 250,7,98,Piston GA,P,,18 Jul 2023,684,0.071
3,2,1,Black Square,Beechcraft B60 Duke (Piston / Grand),7,55,Piston GA,P,,19 May 2024,378,0.127
8,3,5,Fenix,Airbus A320,5,159,Airliner,P,,19 May 2022,1109,0.031
28,4,24,SimWorks Studio,Quest Kodiak 100,5,154,Turboprop,P,,27 Mar 2022,1071,0.032
2,5,3,FlightFX & MS 2024,Cirrus SF50 Vision Jet G2 (combined),4,131,Business Jet,B,,3 Dec 2022,911,0.031
65,6,59,MilViz / Blackbird,BB310R,4,122,Piston GA,P,,5 May 2022,850,0.033
9,7,2,Flysimware,Cessna 414 AW Chancellor,4,154,Piston GA,P,,27 Mar 2022,1071,0.026
379,8,371,Just Flight,BAe Hawk T1/A,4,154,Military (Modern),P,,27 Mar 2022,1071,0.026
,9,,FlightFX,Piaggio P.180 Avanti II,3,15,Turboprop,P,,23 Feb 2025,98,0.200
19,10,9,Microsoft / BlueMesh,Magni Gyro M-24 Orion,3,24,Ultralight / Sports,F,,22 Dec 2024,161,0.125
20,11,9,Got Friends,Zlin Norden,3,27,Piston GA,D,,27 Nov 2024,186,0.111
6,12,6,PMDG,Boeing 777-300ER,3,49,Airliner,P,,26 Jun 2024,340,0.061
10,13,3,Black Square,Beechcraft B60 Duke (Turbine),3,56,Turboprop,P,,11 May 2024,386,0.054
4,14,10,COWS,Diamond DA42,3,68,Piston GA,P,,12 Feb 2024,475,0.044
23,15,8,Cowan Sim,Robinson R66,3,71,Helicopter,P,,23 Jan 2024,495,0.042
169,16,153,Black Square,Daher TBM 850,3,85,Turboprop,P,,16 Oct 2023,594,0.035
11,17,6,Got Friends,PZL-104 Wilga 35/80,3,130,Piston GA,P,,10 Dec 2022,904,0.023
13,18,5,PMDG,Boeing 737-800,3,145,Airliner,P,,27 Aug 2022,1009,0.021
15,19,4,Flying Iron,Spitfire Mk. IX,3,154,Warbird (Classic),P,,27 Mar 2022,1071,0.019
,20,,COWS,Diamond DA40-XLS,2,15,Piston GA,P,,17 Feb 2025,104,0.133
49,21,28,Fenix,Airbus A319/A321 (Expansion),2,41,Airliner,P,,20 Aug 2024,285,0.049
50,22,28,IndiaFoxtEcho,Panavia Tornado,2,43,Military (Modern),P,,9 Aug 2024,296,0.047
7,23,16,Classic Aircraft Simulations,Piper J3C-65 Cub,2,50,Piston GA,P,,22 Jun 2024,344,0.040
22,24,2,Miltech Simulations,Boeing CH47D Chinook,2,63,Helicopter,P,,20 Mar 2024,438,0.032
26,25,1,FSReborn,Piper M500 (FSR500) Meridian,2,82,Turboprop,P,,6 Nov 2023,573,0.024
170,26,,Got Friends,F4F-4 Wildcat,2,88,Warbird (Classic),P,,29 Sep 2023,611,0.023
60,27,,Black Square,"Beechcraft Baron B58
(Steam Gauge Overhaul)",2,114,Piston GA,P,,27 Mar 2023,797,0.018
66,28,,Microsoft,"Beechcraft Model 18
(with & without mods)",2,155,Piston GA,P,,16 Jun 2022,1081,0.013
345,29,,Asobo,Aviat Husky A-1C,2,153,Piston GA,P,,2 Apr 2022,1065,0.013
16,30,,Asobo,Cessna C152 (with WB-Sim / JPL mod),2,154,Piston GA,F,,27 Mar 2022,1071,0.013
29,31,,Flying Iron,P-38 Lightning ,2,154,Military (Modern),P,,27 Mar 2022,1071,0.013
377,32,,Just Flight,Piper Turbo Arrow 3/4 (and non-Turbo),2,154,Piston GA,P,,27 Mar 2022,1071,0.013
32,33,,PMDG,Boeing 777F,1,18,Airliner,P,,27 Jan 2025,125,0.056
33,34,,Hangar Studios 713,American Champion Super Decathlon,1,18,Piston GA,P,,29 Jan 2025,123,0.056
17,35,,Bgaurant,Fokker F27-MK 500,1,19,Airliner,F,,21 Jan 2025,131,0.053
34,36,,Asobo,Powrachute Sky Rascal,1,19,Other,F,,21 Jan 2025,131,0.053
35,37,,iniBuilds,Airbus A321 LR,1,19,Airliner,F,,21 Jan 2025,131,0.053
,38,,SkySimulations,McDonnell Douglas DC-9,1,15,Airliner,P,,18 Feb 2025,103,0.067
