PRV,NOW,,DEVELOPER,AIRCRAFT,,,CATEGORY,$,,ADDED,DAYS,
1,1,=,A2A Simulations,Piper Comanche 250,10,98,Piston GA,P,,18 Jul 2023,684,0.102
12,2,10,FlightFX & MS 2024,Cirrus SF50 Vision Jet G2 (combined),8,131,Business Jet,B,,3 Dec 2022,911,0.061
5,3,2,Black Square,Beechcraft B60 Duke (Piston / Grand),5,55,Piston GA,P,,19 May 2024,378,0.091
11,4,7,COWS,Diamond DA42,5,68,Piston GA,P,,12 Feb 2024,475,0.074
18,5,13,FlyByWire,Airbus A380 (X),4,31,Airliner,F,,3 Nov 2024,210,0.129
10,6,4,PMDG,Boeing 777-300ER,4,49,Airliner,P,,26 Jun 2024,340,0.082
56,7,49,Classic Aircraft Simulations,Piper J3C-65 Cub,4,50,Piston GA,P,,22 Jun 2024,344,0.080
3,8,5,Fenix,Airbus A320,4,159,Airliner,P,,19 May 2022,1109,0.025
5,9,4,Flysimware,Cessna 414 AW Chancellor,4,150,Piston GA,P,,27 Mar 2022,1043,0.027
5,10,5,Black Square,Beechcraft B60 Duke (Turbine),3,56,Turboprop,P,,11 May 2024,386,0.054
7,11,4,Got Friends,PZL-104 Wilga 35/80,3,130,Piston GA,P,,10 Dec 2022,904,0.023
85,12,73,Asobo,Guimbal Cabri G2,3,133,Helicopter,F,,15 Nov 2022,929,0.023
2,13,11,PMDG,Boeing 737-800,3,145,Airliner,P,,27 Aug 2022,1009,0.021
2,14,12,PMDG,Boeing 737-600,3,145,Airliner,P,,22 Aug 2022,1014,0.021
23,15,8,Flying Iron,Spitfire Mk. IX,3,150,Warbird (Classic),P,,27 Mar 2022,1043,0.020
38,16,22,Asobo,Cessna C152 (with WB-Sim / JPL mod),3,150,Piston GA,F,,27 Mar 2022,1043,0.020
,17,,Bgaurant,Fokker F27-MK 500,2,19,Airliner,F,,21 Jan 2025,131,0.105
,18,,Got Friends,AeroElvira EA-7 Optica (MSFS 2024),2,21,Piston GA,F,,7 Jan 2025,145,0.095
48,19,29,Microsoft / BlueMesh,Magni Gyro M-24 Orion,2,24,Ultralight / Sports,F,,22 Dec 2024,161,0.083
9,20,11,Got Friends,Zlin Norden,2,27,Piston GA,D,,27 Nov 2024,186,0.074
3,21,18,Just Flight,Avro RJ,2,29,Airliner,P,,11 Nov 2024,202,0.069
28,22,6,Miltech Simulations,Boeing CH47D Chinook,2,63,Helicopter,P,,20 Mar 2024,438,0.032
64,23,41,Cowan Sim,Robinson R66,2,71,Helicopter,P,,23 Jan 2024,495,0.028
6,24,18,Flysimware,Bombardier Learjet 35A,2,75,Business Jet,P,,31 Dec 2023,518,0.027
69,25,44,Just Flight,Avro Vulcan B Mk. 2,2,79,Military (Modern),P,,30 Nov 2023,549,0.025
19,26,,FSReborn,Piper M500 (FSR500) Meridian,2,82,Turboprop,P,,6 Nov 2023,573,0.024
33,27,,Aeroplane Heaven,Douglas DC-3 (with & without mod),2,134,Vintage / Biplane,F,,12 Nov 2022,932,0.015
15,28,,SimWorks Studio,Quest Kodiak 100,2,150,Turboprop,P,,27 Mar 2022,1043,0.013
40,29,,Flying Iron,P-38 Lightning ,2,150,Military (Modern),P,,27 Mar 2022,1043,0.013
104,30,,FlyByWire,A320 (NX),2,150,Airliner,F,,27 Mar 2022,1043,0.013
346,31,,HPG,Airbus H145,2,150,Helicopter,P,,27 Mar 2022,1043,0.013
,32,,PMDG,Boeing 777F,1,18,Airliner,P,,27 Jan 2025,125,0.056
,33,,Hangar Studios 713,American Champion Super Decathlon,1,18,Piston GA,P,,29 Jan 2025,123,0.056
,34,,Asobo,Powrachute Sky Rascal,1,19,Other,F,,21 Jan 2025,131,0.053
,35,,iniBuilds,Airbus A321 LR,1,19,Airliner,F,,21 Jan 2025,131,0.053
,36,,Got Friends,Stemme S12,1,21,Glider,D,,7 Jan 2025,145,0.048
,37,,Got Friends,Pipstrel Taurus M2,1,21,Glider,D,,7 Jan 2025,145,0.048
